,type,heuristic,runtime,number of splits,number of backtracks,number of simplifications,solution
11,9x9,0,3.401413917541504,0,0,7,"[112, 125, 133, 148, 156, 167, 174, 189, 191, 217, 229, 236, 243, 251, 264, 278, 285, 292, 314, 321, 338, 345, 352, 369, 373, 386, 397, 413, 424, 432, 446, 457, 465, 471, 488, 499, 519, 526, 537, 542, 558, 561, 575, 583, 594, 611, 628, 635, 649, 654, 663, 677, 682, 696, 716, 722, 734, 741, 755, 768, 779, 787, 793, 815, 827, 839, 844, 853, 862, 876, 881, 898, 918, 923, 931, 947, 959, 966, 972, 984, 995]"
12,9x9,0,3.4653069972991943,0,5,29,"[112, 125, 133, 148, 156, 167, 179, 184, 191, 219, 226, 237, 243, 251, 264, 278, 285, 292, 314, 321, 338, 349, 352, 365, 373, 386, 397, 417, 429, 431, 446, 453, 462, 475, 488, 494, 515, 524, 536, 547, 558, 561, 572, 583, 599, 613, 628, 632, 645, 654, 669, 677, 681, 696, 716, 722, 735, 741, 759, 768, 774, 787, 793, 811, 827, 839, 844, 855, 863, 876, 882, 898, 918, 923, 934, 942, 957, 966, 971, 989, 995]"
13,9x9,0,3.386265993118286,0,0,9,"[112, 125, 138, 143, 156, 167, 179, 184, 191, 217, 223, 236, 249, 251, 264, 278, 285, 292, 319, 321, 334, 348, 352, 365, 373, 386, 397, 415, 429, 432, 446, 457, 463, 471, 488, 494, 514, 526, 537, 542, 558, 561, 575, 583, 599, 611, 628, 633, 645, 654, 669, 677, 682, 696, 716, 722, 735, 741, 759, 768, 774, 787, 793, 813, 827, 839, 844, 855, 862, 876, 881, 898, 918, 924, 931, 947, 953, 966, 972, 989, 995]"
14,9x9,0,3.2906432151794434,0,0,7,"[112, 125, 133, 148, 156, 167, 174, 189, 191, 219, 226, 237, 243, 251, 264, 278, 285, 292, 314, 321, 338, 345, 352, 369, 373, 386, 397, 413, 429, 432, 446, 457, 465, 471, 488, 494, 517, 524, 536, 542, 558, 561, 579, 583, 595, 611, 628, 635, 649, 654, 663, 677, 682, 696, 716, 722, 734, 741, 759, 768, 775, 787, 793, 815, 827, 839, 844, 853, 862, 876, 881, 898, 918, 923, 931, 947, 955, 966, 972, 984, 999]"
15,9x9,0,4.064816236495972,0,5,25,"[112, 125, 138, 143, 156, 167, 179, 184, 191, 213, 226, 237, 249, 251, 264, 278, 285, 292, 319, 321, 334, 348, 352, 365, 373, 386, 397, 414, 423, 432, 446, 457, 469, 471, 488, 495, 517, 529, 536, 545, 558, 561, 572, 583, 594, 611, 628, 635, 642, 654, 663, 677, 689, 696, 716, 722, 733, 741, 755, 768, 774, 787, 799, 815, 827, 839, 844, 853, 862, 876, 881, 898, 918, 924, 931, 947, 959, 966, 975, 982, 993]"
16,9x9,0,3.626997709274292,0,2,13,"[112, 125, 138, 143, 156, 167, 179, 184, 191, 213, 226, 237, 249, 251, 264, 278, 285, 292, 319, 321, 334, 348, 352, 365, 373, 386, 397, 414, 423, 432, 446, 457, 469, 471, 488, 495, 517, 529, 536, 545, 558, 561, 572, 583, 594, 611, 628, 635, 642, 654, 663, 677, 689, 696, 716, 722, 733, 741, 755, 768, 774, 787, 799, 815, 827, 839, 844, 853, 862, 876, 881, 898, 918, 924, 931, 947, 959, 966, 975, 982, 993]"
17,9x9,0,3.6686134338378906,0,2,17,"[112, 125, 133, 148, 156, 167, 174, 189, 191, 219, 226, 237, 243, 251, 264, 278, 285, 292, 314, 321, 338, 345, 352, 369, 373, 386, 397, 413, 424, 432, 446, 457, 465, 471, 488, 499, 517, 529, 536, 542, 558, 561, 575, 583, 594, 611, 628, 635, 649, 654, 663, 677, 682, 696, 716, 722, 734, 741, 755, 768, 779, 787, 793, 815, 827, 839, 844, 853, 862, 876, 881, 898, 918, 923, 931, 947, 959, 966, 972, 984, 995]"
18,9x9,0,3.9799652099609375,0,6,31,"[112, 125, 138, 143, 156, 167, 179, 184, 191, 213, 226, 237, 249, 251, 264, 278, 285, 292, 319, 321, 334, 348, 352, 365, 373, 386, 397, 414, 423, 432, 446, 457, 469, 471, 488, 495, 517, 529, 536, 545, 558, 561, 572, 583, 594, 611, 628, 635, 642, 654, 663, 677, 689, 696, 716, 722, 733, 741, 755, 768, 774, 787, 799, 815, 827, 839, 844, 853, 862, 876, 881, 898, 918, 924, 931, 947, 959, 966, 975, 982, 993]"
19,9x9,0,3.40327525138855,0,2,21,"[112, 125, 133, 148, 156, 167, 179, 184, 191, 219, 226, 237, 243, 251, 264, 278, 285, 292, 314, 321, 338, 345, 352, 369, 373, 386, 397, 417, 429, 431, 446, 453, 462, 475, 488, 494, 515, 524, 536, 547, 558, 561, 572, 583, 599, 613, 628, 632, 649, 654, 665, 677, 681, 696, 716, 722, 735, 741, 759, 768, 774, 787, 793, 811, 827, 839, 844, 855, 863, 876, 882, 898, 918, 923, 934, 942, 957, 966, 971, 989, 995]"
20,9x9,0,3.2427315711975098,0,0,11,"[112, 125, 133, 148, 156, 167, 174, 189, 191, 219, 226, 237, 243, 251, 264, 278, 285, 292, 314, 321, 338, 345, 352, 369, 373, 386, 397, 413, 429, 432, 446, 457, 465, 471, 488, 494, 517, 524, 536, 542, 558, 561, 575, 583, 599, 611, 628, 635, 649, 654, 663, 677, 682, 696, 716, 722, 734, 741, 755, 768, 779, 787, 793, 815, 827, 839, 844, 853, 862, 876, 881, 898, 918, 923, 931, 947, 959, 966, 972, 984, 995]"
