,type,heuristic,runtime,number of splits,number of backtracks,number of simplifications,solution
18,4x4,random,0.01471257209777832,3,0,7,"[134, 141, 413, 422, 431, 314, 444, 321, 333, 211, 342, 224, 232, 112, 243, 123]"
19,4x4,random,0.010512113571166992,0,0,1,"[134, 143, 411, 422, 433, 313, 444, 324, 331, 214, 342, 223, 232, 112, 241, 121]"
20,4x4,random,0.009514331817626953,0,0,1,"[131, 144, 412, 423, 434, 314, 441, 321, 332, 211, 343, 224, 233, 113, 242, 122]"
21,4x4,random,0.009505987167358398,0,0,1,"[131, 142, 413, 421, 432, 312, 444, 324, 333, 211, 341, 222, 234, 114, 243, 123]"
22,4x4,random,0.009572982788085938,0,0,1,"[131, 143, 413, 422, 434, 314, 441, 321, 333, 211, 342, 223, 232, 112, 244, 124]"
23,4x4,random,0.009946823120117188,1,0,3,"[131, 143, 413, 421, 432, 312, 444, 324, 333, 211, 341, 223, 234, 114, 242, 122]"
24,4x4,random,0.010028362274169922,0,0,1,"[133, 142, 412, 423, 434, 314, 441, 321, 332, 213, 343, 222, 231, 111, 244, 124]"
25,4x4,random,0.008006811141967773,0,0,1,"[134, 142, 414, 422, 431, 311, 443, 323, 332, 212, 344, 224, 233, 241, 113, 121]"
26,4x4,random,0.010515451431274414,0,0,1,"[134, 141, 411, 422, 433, 313, 444, 324, 331, 342, 214, 221, 232, 112, 243, 123]"
27,4x4,random,0.009377479553222656,0,0,1,"[132, 141, 412, 424, 431, 313, 443, 321, 334, 211, 342, 222, 233, 114, 244, 123]"
28,4x4,random,0.010524511337280273,2,0,5,"[131, 144, 411, 424, 433, 313, 442, 322, 334, 214, 341, 221, 232, 112, 243, 123]"
29,4x4,random,0.009399652481079102,0,0,1,"[134, 141, 413, 422, 431, 314, 444, 321, 332, 211, 343, 224, 233, 112, 242, 123]"
30,4x4,random,0.009517669677734375,0,0,1,"[133, 141, 412, 421, 434, 313, 443, 324, 331, 211, 342, 223, 232, 114, 244, 122]"
31,4x4,random,0.00951695442199707,0,0,1,"[132, 144, 412, 424, 433, 311, 441, 323, 334, 214, 342, 222, 231, 113, 243, 121]"
32,4x4,random,0.010515451431274414,0,0,1,"[131, 143, 413, 421, 432, 312, 444, 324, 333, 211, 341, 223, 234, 242, 114, 122]"
33,4x4,random,0.008514165878295898,0,0,1,"[132, 144, 413, 421, 434, 312, 442, 324, 333, 214, 341, 222, 231, 111, 243, 123]"
34,4x4,random,0.009555339813232422,0,0,1,"[132, 143, 411, 424, 433, 313, 442, 322, 334, 212, 341, 223, 231, 114, 244, 121]"
35,4x4,random,0.009511947631835938,0,0,1,"[133, 144, 413, 421, 434, 312, 442, 324, 331, 214, 343, 223, 232, 111, 241, 122]"
36,4x4,random,0.009511470794677734,0,0,1,"[132, 143, 413, 422, 431, 314, 444, 321, 333, 212, 342, 223, 234, 111, 241, 124]"
37,4x4,random,0.008521318435668945,0,0,1,"[131, 143, 412, 424, 433, 313, 441, 321, 332, 211, 344, 223, 234, 114, 242, 122]"
38,4x4,random,0.010512590408325195,1,0,3,"[132, 143, 411, 422, 433, 313, 444, 324, 331, 212, 342, 223, 234, 114, 241, 121]"
